MoveEvent(x=1663, y=561, time=1719664952.2510703)
MoveEvent(x=1668, y=555, time=1719664952.2542317)
MoveEvent(x=1668, y=554, time=1719664952.2553823)
MoveEvent(x=1672, y=549, time=1719664952.2553823)
MoveEvent(x=1673, y=545, time=1719664952.2553823)
MoveEvent(x=1678, y=542, time=1719664952.2553823)
MoveEvent(x=1679, y=536, time=1719664952.2590091)
MoveEvent(x=1682, y=533, time=1719664952.2601047)
MoveEvent(x=1685, y=529, time=1719664952.2601047)
MoveEvent(x=1688, y=524, time=1719664952.2601047)
MoveEvent(x=1691, y=521, time=1719664952.2632074)
MoveEvent(x=1692, y=517, time=1719664952.2632074)
MoveEvent(x=1697, y=508, time=1719664952.2632074)
MoveEvent(x=1699, y=507, time=1719664952.2632074)
MoveEvent(x=1700, y=503, time=1719664952.2672603)
MoveEvent(x=1703, y=500, time=1719664952.2686312)
MoveEvent(x=1704, y=498, time=1719664952.2691395)
MoveEvent(x=1707, y=491, time=1719664952.2691395)
MoveEvent(x=1710, y=488, time=1719664952.271429)
MoveEvent(x=1710, y=484, time=1719664952.271429)
MoveEvent(x=1713, y=481, time=1719664952.271429)
MoveEvent(x=1714, y=479, time=1719664952.271429)
MoveEvent(x=1716, y=472, time=1719664952.275528)
MoveEvent(x=1717, y=471, time=1719664952.275528)
MoveEvent(x=1720, y=467, time=1719664952.27723)
MoveEvent(x=1721, y=465, time=1719664952.278743)
MoveEvent(x=1723, y=459, time=1719664952.2792842)
MoveEvent(x=1724, y=454, time=1719664952.2792842)
MoveEvent(x=1725, y=451, time=1719664952.2792842)
MoveEvent(x=1727, y=449, time=1719664952.2792842)
MoveEvent(x=1728, y=444, time=1719664952.2834916)
MoveEvent(x=1728, y=442, time=1719664952.2847323)
MoveEvent(x=1730, y=436, time=1719664952.2847323)
MoveEvent(x=1732, y=434, time=1719664952.2847323)
MoveEvent(x=1732, y=430, time=1719664952.287938)
MoveEvent(x=1734, y=427, time=1719664952.2889435)
MoveEvent(x=1735, y=423, time=1719664952.289018)
MoveEvent(x=1737, y=418, time=1719664952.289018)
